key,parent_key,has_parent
SPARK-1101,,0
SPARK-11009,,0
SPARK-11010,,0
SPARK-11011,,0
SPARK-11012,,0
SPARK-11013,,0
SPARK-11014,,0
SPARK-11015,,0
SPARK-11016,,0
SPARK-11017,SPARK-4366,1
SPARK-11018,,0
SPARK-11019,,0
SPARK-1102,,0
SPARK-11020,,0
SPARK-11021,,0
SPARK-11022,,0
SPARK-11023,,0
SPARK-11024,,0
SPARK-11025,,0
SPARK-11026,,0
SPARK-11027,SPARK-4366,1
SPARK-11028,SPARK-4366,1
SPARK-11029,,0
SPARK-1103,,0
SPARK-11031,SPARK-9315,1
SPARK-11030,,0
SPARK-11032,,0
SPARK-11033,SPARK-8055,1
SPARK-11034,SPARK-8055,1
SPARK-11035,SPARK-8055,1
SPARK-11036,,0
SPARK-11037,,0
SPARK-11038,,0
SPARK-11039,,0
SPARK-11040,,0
SPARK-1104,,0
SPARK-11041,,0
SPARK-11042,,0
SPARK-11043,,0
SPARK-11044,,0
SPARK-11045,,0
SPARK-11046,,0
SPARK-11047,,0
SPARK-11048,,0
SPARK-11049,,0
SPARK-1105,,0
SPARK-11050,,0
SPARK-11051,,0
SPARK-11052,,0
SPARK-11053,SPARK-4366,1
SPARK-11054,,0
SPARK-11055,,0
SPARK-11056,,0
SPARK-11057,,0
SPARK-11058,,0
SPARK-11059,,0
SPARK-1106,,0
SPARK-11060,,0
SPARK-11061,,0
